title,release_year,popularity,vote_average,vote_count
My Apprenticeship,1939,0.277691,5.0,1.0
Piter FM,2006,1.047412,5.4,14.0
Pontypool,2009,6.407207,6.6,187.0
Playmobil: The Secret of Pirate Island,2009,0.014168,0.0,0.0
Big Pun: The Legacy,2009,0.168673,5.8,3.0
Agent Red,2000,1.124954,4.2,7.0
The Last Patrol,2001,3.095364,3.8,9.0
The Girl in the Park,2007,5.812464,6.1,22.0
Command Performance,2009,2.762953,4.9,29.0
Direct Contact,2009,6.078318,4.4,15.0
The Matriarch,2007,0.271386,5.3,3.0
Land of the Pharaohs,1955,1.323773,6.0,16.0
Heart of Midnight,1988,0.920379,5.6,8.0
The Sun Also Rises,1957,1.368063,5.4,6.0
Youth in Revolt,2009,5.433934,5.9,323.0
Daybreakers,2009,10.038613,6.0,646.0
The Milk of Sorrow,2009,0.982504,6.6,23.0
The Age of Stupid,2009,1.101593,6.2,18.0
Missionary Man,2007,1.367062,5.5,11.0
Diamond Dogs,2007,1.821627,4.1,12.0
Hachi: A Dog's Tale,2009,8.621359,7.7,1769.0
Twogether,1994,0.047019,0.0,0.0
Enid Is Sleeping,1991,1.304582,3.5,2.0
10 MPH,2007,0.054354,9.0,1.0
"The Prophet, the Gold, and the Transylvanians",1978,0.259357,0.0,0.0
Leap Year,2010,7.432311,6.5,474.0
The Book of Eli,2010,14.39853,6.6,2207.0
The Girl Who Kicked the Hornet's Nest,2009,8.405013,7.0,451.0
Tickets,2005,0.663224,6.0,8.0
Hickey & Boggs,1972,0.801399,6.5,12.0
Mister Johnson,1990,5.309937,5.8,9.0
The Innocent,1976,11.95878,6.0,16.0
A Prophet,2009,6.892315,7.5,398.0
"Man, Woman and Beast",1977,0.058556,4.0,3.0
A Guide for the Married Man,1967,2.063207,6.3,11.0
Dead Time,2007,0.369155,6.5,2.0
The Phantom Lover,1995,0.273083,6.8,2.0
Staten Island,2009,10.143164,6.4,23.0
Princess,2006,3.879014,6.2,13.0
Collapse,2009,2.221044,7.7,39.0
Last Resort,2000,0.647706,5.5,7.0
The Yacoubian Building,2006,0.719249,6.8,14.0
Metal Gear Solid: Philanthropy,2009,0.254232,6.4,7.0
My One and Only,2009,4.138817,6.2,45.0
Birdsong,2008,0.185391,8.0,4.0
The Maiden Heist,2009,6.776165,5.8,102.0
Hidden Agenda,2001,0.685233,6.0,3.0
Detention,2003,1.437403,5.6,9.0
I Live My Life,1935,0.80842,1.3,3.0
The V.I.P.s,1963,0.547188,5.4,13.0
Flavor of Green Tea Over Rice,1952,0.727895,7.5,4.0
Louie Bluie,1985,0.014346,9.0,3.0
Ernest Goes to School,1994,1.229301,3.7,9.0
Direct Action,2004,2.480543,4.1,11.0
The Defender,2004,1.001318,4.9,10.0
Mr. Warmth: The Don Rickles Project,2007,1.590689,6.1,4.0
Shooting War,2000,0.468108,5.3,2.0
Semper Fi,2001,0.370146,0.0,0.0
Puppet Master: The Legacy,2003,1.169339,2.1,10.0
Gretchen the Greenhorn,1916,0.153125,5.5,2.0
Blood: The Last Vampire,2009,7.524117,5.1,94.0
Liverpool,2008,0.411596,7.3,9.0
Theodora Goes Wild,1936,0.702752,6.3,3.0
MacGyver: Lost Treasure of Atlantis,1994,0.967882,5.6,19.0
Pekka ja Pätkä Suezilla,1958,0.062996,6.0,1.0
Don't Touch the Axe,2007,0.222668,5.5,4.0
Horsemen,2009,7.455953,5.5,124.0
"Swades: We, the People",2004,4.971198,7.3,78.0
Bart Got a Room,2008,11.561666,5.9,21.0
Jerichow,2008,1.242183,6.3,9.0
A Matter of Dignity,1958,0.040883,5.0,1.0
The Spousals of God,1999,0.503167,8.8,4.0
The Last of England,1987,2.592915,6.1,6.0
Harmful Insect,2001,0.487234,7.0,5.0
Project A II,1987,6.7196,6.6,56.0
"My Son, My Son, What Have Ye Done",2009,3.349413,6.0,54.0
Fire-Eater,1998,0.235882,3.0,1.0
Soul Kitchen,2009,4.79386,7.0,117.0
Quiet Chaos,2008,3.03607,6.5,32.0
Heat,1972,0.466019,6.3,6.0
"The Devil, Probably",1977,0.767395,7.0,12.0
Altiplano,2009,0.166009,4.7,3.0
One Way Passage,1932,1.777029,6.7,9.0
"The Actress, the Dollars and the Transylvanians",1978,0.25,0.0,0.0
The House on Sorority Row,1983,1.918891,6.0,34.0
Dragon Hunters,2008,10.938912,6.5,131.0
The 27 Club,2008,0.040054,8.0,1.0
Rob-B-Hood,2006,12.183711,6.6,107.0
Year of the Comet,1992,0.720374,6.9,4.0
The Concert,2009,4.318909,6.9,129.0
Macheads,2009,0.152437,5.5,4.0
Welcome To Macintosh,2008,0.294119,5.2,5.0
The Butterfly,2002,1.468247,6.9,26.0
The Other Man,2008,4.674662,5.1,58.0
Wrong Turn at Tahoe,2009,3.629657,6.3,24.0
Ninja,2009,9.203341,5.4,87.0
If You Love,2010,0.368731,7.5,4.0
The Queen and I,2008,0.409213,5.0,3.0
The Long Day Closes,1992,1.190292,7.2,16.0
The Baker's Wife,1938,0.491306,7.9,8.0
Fighter,2007,0.496686,4.7,6.0
The Story of a Cheat,1936,0.646416,7.6,10.0
Subarnarekha,1965,0.119106,7.7,3.0
Douce,1943,0.095589,8.0,2.0
Kid Galahad,1937,0.86193,7.0,12.0
Asterix at the Olympic Games,2008,9.671944,5.0,486.0
The Chaser,2008,7.062323,7.7,250.0
Flock of Dodos: The Evolution-Intelligent Design Circus,2006,0.672521,5.6,5.0
My Sex Life... or How I Got Into an Argument,1996,0.270279,5.8,6.0
Hannah Takes the Stairs,2007,0.564638,5.6,8.0
Meantime,1984,1.509256,6.8,18.0
Abigail's Party,1977,0.704172,7.4,10.0
Violence at Noon,1966,1.101985,5.3,8.0
Mega Shark vs Giant Octopus,2009,4.566951,3.7,54.0
Mall Girls,2009,1.127443,5.4,7.0
Landscape No. 2,2009,0.114365,5.0,1.0
Dr. Otto and the Riddle of the Gloom Beam,1986,0.111171,6.0,3.0
"Rudolph, the Red-Nosed Reindeer",1964,7.129761,6.9,131.0
A Dennis the Menace Christmas,2007,1.215778,4.8,15.0
Nowhere Boy,2009,5.08732,7.2,250.0
Note by Note: The Making of Steinway L1037,2007,0.128607,7.3,3.0
Garbage Warrior,2007,0.132201,8.0,2.0
The Thaw,2009,6.487576,5.1,73.0
The Living Room of the Nation,2009,0.07998,4.8,2.0
Blood and Bone,2009,12.673118,6.6,131.0
Undisputed II: Last Man Standing,2006,18.957084,6.8,148.0
Motocrossed,2001,1.082428,4.4,15.0
3 Idiots,2009,7.675621,7.8,850.0
Svampe,1990,3.3e-05,0.0,0.0
Troubled Water,2008,2.180399,7.2,28.0
Hum Tum,2004,2.58331,6.1,23.0
Genevieve,1953,1.152132,6.3,16.0
Sometimes a Great Notion,1970,1.985376,7.0,28.0
Out of It,1978,1.352869,6.6,15.0
Running Mates,1992,0.746921,5.5,2.0
Legion,2010,13.795875,5.2,643.0
Air Force,1943,0.955413,6.3,11.0
Coquette,1929,0.457598,5.4,5.0
Unconquered,1947,1.637557,5.1,7.0
Man Hunt,1941,6.924131,6.8,31.0
The Maid,2009,1.199005,6.8,25.0
"The Oil, the Baby and the Transylvanians",1981,0.035727,0.0,0.0
Defenseless,1991,0.694327,5.7,3.0
Pyrates,1991,0.375724,0.0,0.0
Silent Wedding,2009,1.629036,7.0,15.0
A Fine Mess,1986,0.765825,3.4,5.0
Thomas Pynchon: A Journey Into the Mind of P.,2003,0.002844,0.0,0.0
Rahtree: Flower of the Night,2003,1.245891,5.7,8.0
Beautiful,2009,2.713961,4.6,17.0
Stan Helsing,2009,5.280974,4.1,99.0
Forgiven,2007,0.008198,0.0,0.0
Peter Pan,1960,0.257941,7.3,6.0
Wicked City,1987,2.684329,7.1,31.0
Cabiria,1914,0.704028,6.8,22.0
Virginia City,1940,0.833855,5.4,4.0
Female Yakuza Tale,1973,1.041534,6.6,13.0
Together Again,1944,0.967785,6.5,2.0
If You Could Only Cook,1935,0.430813,6.8,4.0
Arn: The Kingdom at Road's End,2008,3.861969,6.1,30.0
Japan's Longest Day,1967,0.271087,6.8,6.0
Dante's Hell Animated,2013,0.787493,8.0,4.0
Shriek of the Mutilated,1974,0.146623,5.3,2.0
Four Eyed Monsters,2005,0.634211,6.0,10.0
Extraordinary Measures,2010,6.523155,6.0,93.0
Havukka-Ahon Ajattelija,2010,0.164919,6.3,3.0
Too Many Husbands,1940,0.539853,7.2,3.0
The Red Baron,2008,4.918419,6.4,80.0
The Holy Innocents,1984,1.207703,7.6,24.0
Crime and Punishment,1935,1.095264,5.9,12.0
More Than a Game,2008,1.199003,7.2,17.0
Falling Up,2009,13.313415,5.2,22.0
Zach Galifianakis: Live at the Purple Onion,2007,4.70231,7.3,24.0
When in Rome,2010,10.118113,5.7,389.0
Edge of Darkness,2010,9.554067,6.2,496.0
Ethan Mao,2004,0.412259,3.7,3.0
Charlie Chan in Shanghai,1935,1.540778,7.0,8.0
The Hands of Orlac,1924,0.979118,6.9,19.0
Mad Detective,2007,2.061375,7.0,45.0
The Quince Tree Sun,1992,0.001655,6.2,6.0
Triangle,2009,10.217404,6.9,623.0
The Perfect Circle,1997,0.23842,6.9,9.0
Rampage,1987,2.946078,6.5,11.0
The Ambulance,1989,1.756955,6.0,21.0
Cimarron,1960,2.000936,5.2,14.0
Dangerous,1935,2.365103,6.8,9.0
I Never Sang for My Father,1970,0.815137,6.4,5.0
Space Pirate Captain Harlock: Arcadia of My Youth,1982,0.612085,6.7,9.0
I Love You Phillip Morris,2009,5.773752,6.4,514.0
Anne of Green Gables: The Sequel,1987,3.496181,8.0,36.0
The Donner Party,2009,0.665873,5.0,1.0
Electric Shadows,2004,0.261949,6.4,7.0
Mistress,1992,1.60034,5.7,10.0
Extreme Justice,1993,0.94439,6.3,3.0
The Sun,2005,1.134351,6.6,15.0
Vivacious Lady,1938,0.67326,6.0,11.0
Escape from Suburbia: Beyond the American Dream,2007,0.038858,6.0,1.0
Temple Grandin,2010,4.762242,7.7,93.0
The First Day of the Rest of Your Life,2008,6.173752,7.5,139.0
Me and Him,1988,0.645652,0.0,1.0
Désirée,1954,0.556292,7.2,5.0
Thank God It's Friday,1978,0.914133,4.6,8.0
"Captain Newman, M.D.",1963,0.858836,5.3,3.0
Serious Moonlight,2009,4.747197,5.2,52.0
The House of the Devil,2009,5.706196,6.0,201.0
Black Legion,1937,0.703532,6.4,6.0
The Hero: Love Story of a Spy,2003,0.735283,5.0,5.0
Lucky: No Time for Love,2005,0.204307,4.5,5.0
Fish Tank,2009,6.070216,6.9,256.0
Love Stories,2000,5.793932,6.9,59.0
Absurdistan,2008,0.590386,6.4,7.0
Takva: A Man's Fear of God,2006,0.862463,7.7,13.0
The Wounds,1998,0.732884,7.2,16.0
Body Bags,1993,2.954229,5.7,52.0
Legend of the Red Dragon,1994,2.946935,6.3,24.0
The Hound of the Baskervilles,2000,0.937805,6.4,7.0
The Royal Scandal,2001,0.193886,5.3,5.0
Valentine's Day,2010,7.466721,5.7,1043.0
The Wolfman,2010,9.297209,5.5,562.0
Babysitter Wanted,2009,8.262337,5.3,53.0
Shutter Island,2010,15.813629,7.8,6559.0
The Sign of Four,2001,0.084953,6.0,2.0
The Case of the Whitechapel Vampire,2002,0.489897,3.8,3.0
The Headless Woman,2008,1.20873,5.8,14.0
Yellow,1998,0.006175,0.0,0.0
The Other End of the Line,2008,3.438508,6.1,51.0
Bitch Slap,2009,7.489306,4.5,92.0
$9.99,2008,3.350555,6.0,28.0
Ondine,2009,4.757269,6.5,84.0
1066: The Battle for Middle Earth,2009,0.133927,0.0,0.0
The Steam Experiment,2009,1.779516,3.7,17.0
Letters to Father Jacob,2009,0.570175,6.8,8.0
The Bakery Girl of Monceau,1963,0.996818,6.4,12.0
Persuasion,2007,6.955841,7.1,52.0
The Girl Who Played with Fire,2009,14.38601,6.9,561.0
Steal This Film,2006,1.097684,5.0,14.0
Percy Jackson & the Olympians: The Lightning Thief,2010,9.785895,6.0,2079.0
Cop Out,2010,14.313079,5.3,518.0
Mademoiselle,1966,0.612006,7.3,7.0
Trailer Park Boys: Countdown to Liquor Day,2009,3.093829,7.0,42.0
The Ghost Writer,2010,6.76482,6.7,681.0
Darling Lili,1970,0.552281,4.9,8.0
The Secret of Kells,2009,5.544992,7.3,184.0
The Vicious Kind,2009,2.425754,6.4,46.0
The Secret of Santa Vittoria,1969,1.63702,6.1,12.0
The Spy Next Door,2010,6.663422,5.5,351.0
I Hope They Serve Beer in Hell,2009,3.208138,5.7,20.0
Caged,1950,0.957227,6.7,13.0
The House on 92nd Street,1945,0.485843,5.2,11.0
Blood Done Sign My Name,2010,0.518507,6.0,5.0
Thérèse Raquin,1953,1.726864,6.3,9.0
Mysterious Island,2005,3.228053,4.9,17.0
Dare,2009,2.080893,5.6,24.0
Agora,2009,8.029671,6.9,404.0
Tom Thumb,1958,1.045618,6.2,8.0
Singh Is Kinng,2008,1.369086,5.3,22.0
Motherhood,2009,8.42093,4.8,45.0
Shades of Ray,2008,1.394956,6.5,7.0
Shinjuku Incident,2009,4.382125,6.7,68.0
High Life,2009,6.936818,6.1,20.0
District 13: Ultimatum,2009,9.133996,6.0,323.0
Rockaway,2007,0.098675,5.8,2.0
Fast Lane,2010,0.268346,4.2,6.0
Pudana: Last of the Line,2010,0.041176,5.0,1.0
The Yes Men Fix the World,2009,1.372814,7.0,29.0
Pekka ja Pätkä puistotäteinä,1955,0.10156,4.0,2.0
Mike Bassett: England Manager,2001,1.659274,7.2,15.0
The Crazies,2010,10.914556,6.2,649.0
Dear John,2010,8.371479,6.6,1302.0
Last Train Home,2009,0.719517,6.8,19.0
Tooth Fairy,2010,6.74468,5.2,500.0
Of Time and the City,2008,0.623718,7.4,9.0
"La Commune (Paris, 1871)",2001,0.286634,6.1,8.0
Gentlemen of Fortune,1971,3.142233,7.4,39.0
Eden Log,2007,5.825183,4.8,60.0
Trap,2007,0.038825,5.0,1.0
Isolation,2005,3.727745,5.6,57.0
Fermat's Room,2007,3.950545,6.6,85.0
Under the Bombs,2007,0.488704,7.0,4.0
[REC]²,2009,8.853168,6.5,496.0
Cabin Fever 2: Spring Fever,2009,5.187,4.4,96.0
The Room,2003,6.490979,4.3,191.0
Killer Bean 2: The Party,2000,0.022707,0.0,0.0
The Scarlet Dove,1961,0.159754,7.0,1.0
Asphalt Lambs,1968,0.036471,7.0,1.0
Lars i porten,1984,0.0,0.0,0.0
My Name Is Khan,2010,11.264586,7.7,237.0
Alice in Wonderland,2010,17.285093,6.4,4773.0
A Town Called Panic,2009,2.259456,7.4,52.0
Green Zone,2010,11.174041,6.4,730.0
The Call of the Wild,1935,1.061454,6.0,13.0
44 Inch Chest,2009,2.237262,6.0,37.0
The Fall of the Roman Empire,1964,2.824367,6.0,34.0
Ajami,2009,3.892393,6.8,27.0
From Paris with Love,2010,6.885593,6.2,684.0
Strategic Air Command,1955,0.332145,6.1,8.0
The Boy Friend,1971,0.543395,6.7,3.0
Road Trip: Beer Pong,2009,4.004323,5.3,63.0
Zone of the Dead,2009,1.770765,4.7,19.0
Dorian Gray,2009,11.069608,5.8,588.0
That Sinking Feeling,1980,0.994335,6.9,9.0
Taras Bulba,1962,1.308651,6.5,15.0
Greenberg,2010,8.509231,6.0,163.0
Two-Minute Warning,1976,1.712445,6.3,24.0
Brooklyn's Finest,2009,12.50422,6.2,296.0
She's Out of My League,2010,8.101247,5.9,544.0
Harry Brown,2009,7.478206,6.7,351.0
The Dead Outside,2008,1.302258,3.5,13.0
The Mysteries of Pittsburgh,2008,5.910208,3.6,10.0
Never Forever,2007,0.589948,5.1,7.0
Remember Me,2010,8.307719,6.9,980.0
Failan,2001,1.806613,7.0,26.0
Teenage Caveman,2002,3.553427,3.4,21.0
The Night Stalker,1972,4.496482,7.1,23.0
Skeleton Crew,2009,0.980721,4.1,11.0
The Cool World,1963,0.693882,4.3,3.0
Posse,1993,2.113993,5.3,23.0
Joy Ride 2: Dead Ahead,2008,4.084162,5.2,60.0
Vinyan,2008,3.147644,4.6,31.0
The Burrowers,2008,5.59423,5.4,58.0
The Last Deadly Mission,2007,6.33835,6.1,40.0
Frozen,2010,10.245682,5.9,586.0
Torrid Zone,1940,0.154237,8.0,1.0
ZMD: Zombies of Mass Destruction,2009,1.425986,4.7,31.0
The Carter,2009,0.222757,6.9,4.0
Lupin the Third: Sweet Lost Night,2008,0.513825,5.7,6.0
Blade of the Ripper,1971,1.660014,7.7,17.0
Generation X,1996,1.916293,4.0,15.0
Girl of Finland,1967,0.041718,8.0,1.0
The Devil's Eye,1960,1.41737,6.4,13.0
Survival of the Dead,2010,9.159799,4.7,118.0
The Way You Wanted Me,1944,0.27606,7.0,2.0
"Skin, Skin",1966,0.223436,4.5,2.0
Nine Dead,2010,9.711183,5.1,85.0
Will Ferrell: You're Welcome America - A Final Night with George W. Bush,2009,1.84991,6.6,12.0
Invisible Stripes,1939,1.250248,6.5,2.0
Little Ashes,2008,3.396498,6.1,44.0
Our Family Wedding,2010,8.204894,5.7,40.0
The Bounty Hunter,2010,6.715263,5.6,878.0
Dead Man Running,2009,2.735297,6.2,25.0
Leaves of Grass,2009,9.954095,5.9,143.0
Women in Trouble,2009,7.052376,5.2,30.0
Afghan Star,2009,0.476791,6.6,5.0
I Was a Communist for the FBI,1951,0.129965,4.5,3.0
Combat Shock,1986,1.640696,6.4,14.0
The Card Player,2004,3.501564,4.7,46.0
The Hollywood Revue of 1929,1929,1.182411,4.6,7.0
Haunted Echoes,2008,0.381248,4.3,5.0
Possession,2009,6.253597,5.2,35.0
Deadly Prey,1987,1.737379,5.5,16.0
The Seventh Veil,1945,0.742283,5.2,8.0
Mondo Cane,1962,1.3411,6.6,18.0
The Egyptian,1954,10.374608,6.0,11.0
The Egg and I,1947,0.628683,7.1,8.0
Brass Monkey,1948,0.1145,5.5,1.0
The Frightened City,1961,0.219878,6.5,2.0
"Who Are You, Polly Maggoo?",1966,0.16663,7.8,4.0
North Face,2008,5.260798,7.4,77.0
Repo Men,2010,7.502967,6.2,627.0
The Apprenticeship of Duddy Kravitz,1974,0.44984,6.6,5.0
The Brothers Karamazov,1958,3.425142,6.8,6.0
The Buccaneer,1958,0.720247,5.8,9.0
Restless Blood,1946,0.071782,5.0,2.0
Case 39,2009,9.644085,6.1,580.0
After Last Season,2009,0.156478,2.0,4.0
Guest of Cindy Sherman,2008,0.11243,5.0,1.0
Delhi-6,2009,1.44792,5.6,17.0
Oceans,2009,7.785003,7.3,112.0
New York,2009,2.431428,6.3,29.0
The Slammin' Salmon,2009,3.761656,6.3,54.0
Your Vice is a Locked Room and Only I Have the Key,1972,2.095122,6.5,21.0
Cookers,2001,0.92956,6.0,7.0
Hot Tub Time Machine,2010,11.967652,5.9,911.0
Chloe,2009,10.445867,5.9,514.0
Blackwoods,2001,0.616008,2.1,8.0
Trash,1970,0.293657,4.8,5.0
Zift,2008,1.169328,5.2,8.0
Flesh and the Devil,1926,0.765315,7.9,11.0
Mother,2009,5.030112,7.6,192.0
How to Train Your Dragon,2010,14.416681,7.5,4319.0
Tom and Jerry: The Movie,1992,10.978036,5.6,96.0
About Elly,2009,10.35646,7.3,98.0
King and the Clown,2005,2.793366,6.9,37.0
Extreme Movie,2008,9.435287,3.8,45.0
Dark Mirror,2007,2.123997,4.5,13.0
"You're a Good Man, Charlie Brown",1985,0.013026,5.9,4.0
Universal Soldier: Regeneration,2009,8.226,5.2,114.0
Bunty Aur Babli,2005,1.27801,6.4,16.0
The Pearl of Death,1944,1.483085,6.9,16.0
Lumière and Company,1995,2.30961,6.9,17.0
The Bone Man,2009,2.13223,7.4,26.0
Scar,2007,6.615604,5.2,19.0
I Hate Valentine's Day,2009,4.241465,5.0,88.0
Žižek!,2005,0.719799,6.3,8.0
Lupin the Third: Episode 0: First Contact,2002,0.482398,5.9,4.0
Yuki & Nina,2009,0.113018,5.5,1.0
Air Doll,2009,4.173112,6.6,53.0
Main Street,1956,1.134103,7.9,8.0
"Come, Sweet Death",2000,1.703002,7.4,19.0
India,1993,1.348347,8.4,17.0
Micmacs,2009,5.278672,6.8,150.0
Clash of the Titans,2010,11.972347,5.6,2280.0
Rockabilly Vampire,1996,0.329985,4.0,1.0
Miss Météo,2005,0.109838,6.0,1.0
White Mane,1953,1.413075,6.4,16.0
Growth,2010,2.660436,5.1,27.0
The Cremator,1969,2.58383,8.0,39.0
Defendor,2009,5.600277,6.5,197.0
Bass Ackwards,2010,0.772541,4.9,5.0
One 2 Ka 4,2001,1.838534,5.3,12.0
Shakti: The Power,2002,0.451851,5.0,3.0
Glorious 39,2009,3.353004,5.3,35.0
Kick-Ass,2010,17.26045,7.1,4747.0
Varg Veum - Bitter Flowers,2007,1.488763,5.8,6.0
Varg Veum - Fallen Angels,2008,1.458094,6.9,5.0
Chalte Chalte,2003,1.499512,6.2,27.0
Five Minutes of Heaven,2009,13.465072,6.6,45.0
The Hanging Tree,1959,3.931676,5.8,14.0
Cain and Mabel,1936,0.214955,8.0,1.0
Swastika,1974,0.288698,5.2,3.0
Karan Arjun,1995,2.193229,6.6,22.0
Date Night,2010,8.443736,5.9,1148.0
The Pit and the Pendulum,1991,2.252625,5.7,29.0
Kronk's New Groove,2005,7.680092,6.0,233.0
Mark of the Devil,1970,1.631239,5.8,21.0
The Brink's Job,1978,7.196137,6.4,9.0
After.Life,2010,9.063797,5.4,253.0
Camille,2008,8.776971,6.1,36.0
The Virgin Queen,1955,0.728698,7.8,4.0
The Sheepman,1958,4.544583,6.0,14.0
Sex Positive,2009,0.79658,0.0,0.0
Love's Abiding Joy,2006,1.148336,5.8,12.0
Spiderman: The Ultimate Villain Showdown,2002,0.362957,5.2,3.0
Terry Fator: Live from Las Vegas,2009,0.387385,3.0,2.0
Five Star Final,1931,9.035549,4.2,7.0
Downloading Nancy,2008,1.961313,5.2,21.0
Oneechanbara The Movie,2008,0.613431,5.1,9.0
Movie Crazy,1932,0.150713,4.7,3.0
The Oklahoma Kid,1939,0.894215,5.7,5.0
Don McKay,2009,2.212466,5.4,21.0
Taqwacore: The Birth of Punk Islam,2009,0.068498,6.0,1.0
Grim Reaper,2007,0.275394,2.0,1.0
Steam of Life,2010,0.982331,6.9,11.0
Mortadelo & Filemon: The Big Adventure,2003,2.415286,5.4,27.0
Angel,2007,3.599876,5.3,45.0
American Drug War: The Last White Hope,2007,0.770685,5.8,7.0
The Final,2010,4.010976,5.6,80.0
Peacock,2010,6.013545,5.9,65.0
Tillie's Punctured Romance,1914,0.621999,6.6,14.0
The Runaways,2010,19.42051,6.3,262.0
Steal This Film II,2007,0.438766,6.3,6.0
Carne,1991,1.607398,7.0,31.0
Pigsty,1969,1.578564,7.4,24.0
Rembrandt's J'Accuse...!,2008,0.58526,8.5,4.0
The Way I Spent the End of the World,2006,1.459135,5.8,9.0
It! The Terror from Beyond Space,1958,1.618275,6.2,27.0
Deep in the Woods,2000,3.037224,3.3,10.0
Daisy,2006,1.885187,7.0,31.0
Cape No. 7,2008,1.461326,6.5,15.0
The Men Who Tread on the Tiger's Tail,1945,2.137943,6.4,24.0
Trench Road,2004,0.044653,7.0,1.0
Oh Happy Day,2007,0.178514,3.7,3.0
The Black Waters of Echo's Pond,2009,0.845713,5.1,13.0
The Most Beautiful,1944,1.216724,5.3,7.0
Razorback,1984,1.822979,5.6,33.0
The Education of Charlie Banks,2007,2.340454,6.0,25.0
Cooking With Stella,2010,0.466178,6.0,2.0
Until the Light Takes Us,2008,1.580266,6.6,20.0
Angel of Death,2009,1.938244,5.1,19.0
A Farewell to Arms,1932,2.411191,6.2,29.0
Caesar and Cleopatra,1945,1.057669,6.6,13.0
Reclaim Your Brain,2007,2.529219,6.9,30.0
When Dinosaurs Ruled the Earth,1970,2.600011,5.1,18.0
Waking Sleeping Beauty,2009,0.908184,7.4,22.0
Affinity,2008,1.648107,6.3,6.0
The Roman Spring of Mrs. Stone,1961,0.943604,7.4,4.0
Wild China,2008,0.674662,7.1,11.0
The Case for Christ,2007,0.090474,3.0,1.0
The Ascent of Money,2009,0.458794,6.1,4.0
Hot Millions,1968,3.359214,5.9,7.0
Desperate Journey,1942,1.204787,7.0,2.0
Death at a Funeral,2010,10.863441,5.5,248.0
Valhalla Rising,2009,8.651468,5.9,323.0
Sahara,1983,1.634923,6.0,6.0
Diary of a Wimpy Kid,2010,12.139919,5.9,369.0
Skin,2009,1.858361,6.8,13.0
Hum Tumhare Hain Sanam,2002,0.761757,4.8,13.0
Out of the Fog,1941,1.096974,5.7,10.0
The Tender Trap,1955,0.740862,6.1,10.0
The Caddy,1953,0.969886,5.7,10.0
Hotel Reserve,1944,0.955925,6.3,3.0
Hell Is Sold Out,1951,0.063133,6.0,1.0
The Union: The Business Behind Getting High,2007,2.058076,7.2,26.0
Decision Before Dawn,1951,1.030026,5.6,12.0
I Am Love,2009,6.309187,6.9,75.0
Circle of Eight,2009,2.285697,3.6,21.0
Ballet Shoes,2008,5.828623,6.3,103.0
Disgrace,2008,8.32971,6.0,25.0
For the Love of Movies: The Story of American Film Criticism,2009,0.348386,5.0,1.0
Aria,1987,2.267249,6.2,11.0
The Silent Partner,1978,2.745838,6.9,23.0
Normal Adolescent Behavior,2007,1.173129,4.9,7.0
Hell,2005,2.142094,6.3,10.0
LEGO: The Adventures of Clutch Powers,2010,1.605238,5.1,22.0
American Virgin,2009,3.102284,4.6,37.0
Dogtooth,2009,17.713581,6.9,346.0
Genova,2008,2.074352,5.4,23.0
City of Life and Death,2009,7.216103,7.6,55.0
Scarecrows,1988,2.227278,5.4,37.0
The Beast,1975,4.080387,5.8,44.0
Don's Plum,2001,5.339888,6.3,18.0
Huset vid vägens ände,2003,0.054755,6.0,1.0
The Dunwich Horror,2009,0.431157,2.6,11.0
"I Are You, You Am Me",1982,1e-06,5.0,1.0
Chizuko's Younger Sister,1991,0.008701,0.0,0.0
As Good As Dead,2010,1.984924,4.9,11.0
Glory to the Filmmaker!,2007,0.771126,6.2,12.0
Achilles and the Tortoise,2008,1.701458,6.8,21.0
The Moment After,1999,1.842117,4.5,4.0
Bananas!*,2009,0.502688,5.6,5.0
Texas Carnival,1951,0.05277,0.0,0.0
The Losers,2010,12.798367,6.2,522.0
Tenure,2009,0.85016,6.1,11.0
Panda! Go Panda!,1972,2.213026,6.4,27.0
The Last Song,2010,5.541073,7.0,959.0
Chained Heat,1983,5.105447,4.6,14.0
Cyrus,2010,10.42001,6.1,135.0
The Human Centipede (First Sequence),2009,12.84585,4.9,528.0
The Ten Commandments,1923,1.725825,7.0,10.0
This Is the Army,1943,0.800156,8.3,3.0
Darkness and Light,1999,0.297027,7.3,3.0
The Best Of Times,2002,0.302673,7.0,3.0
Ben,1972,0.37223,4.4,8.0
Operator 13,1934,0.384003,3.5,2.0
Exit Through the Gift Shop,2010,5.188466,7.6,314.0
Summer and Smoke,1961,0.669198,5.8,8.0
Bloody Territories,1969,0.437567,3.8,2.0
Stray Cat Rock: Sex Hunter,1970,0.60719,6.4,9.0
Julia Sweeney - Letting Go of God,2008,0.357063,8.4,5.0
King of the Zombies,1941,1.387826,5.3,7.0
The Last Voyage,1960,1.92857,5.7,6.0
Night Must Fall,1937,1.919229,7.6,5.0
Night Train to Munich,1940,1.505294,7.1,21.0
Pinky,1949,0.905818,7.7,10.0
Tobruk,1967,1.483111,5.8,16.0
Stray Cat Rock: Delinquent Girl Boss,1970,0.430769,5.7,9.0
Solomon Kane,2009,9.667535,5.6,399.0
Blood and Sand,1941,4.618566,6.1,9.0
Iron Man 2,2010,19.083344,6.6,6969.0
Lebanon,2009,3.842922,6.1,57.0
Johnny Angel,1945,0.51834,5.1,8.0
The Dark Tower,1943,0.192959,7.0,2.0
Reindeerspotting - Escape From Santaland,2010,0.879714,6.6,15.0
Marmaduke,2010,12.285545,5.0,150.0
